"id","web_sku","linnworks_code","web_price_uk","web_sale_price_uk","web_price_fr","web_sale_price_fr","web_price_de","web_sale_price_de","web_price_dm","web_sale_price_dm","web_price_tesco","web_sale_price_tesco"
"1","DP1110A","1101","34.99","24.99","44.99","34.99","44.99","34.99","34.99","29.99",,"29.99"
"2","DP1110B","1102","44.99","34.99","59.99","44.99","59.99","44.99","44.99","39.99",,"39.99"
"3","DP1110C","1103","54.99","39.99","69.99","54.99","69.99","54.99","54.99","44.99",,"44.99"
"4","DP1110D","1104","64.99","44.99","84.99","59.99","84.99","59.99","64.99","49.99",,"49.99"
"5","DP1111A","1105","49.99","29.99","64.99","39.99","64.99","39.99","49.99","34.99",,"34.99"
"6","DP1111B","1106","59.99","39.99","79.99","54.99","79.99","54.99","59.99","44.99",,"44.99"
"7","DP1111C","1107","69.99","44.99","89.99","59.99","89.99","59.99","69.99","49.99",,"49.99"
"8","DP1111D","1108","79.99","49.99","104.99","69.99","104.99","69.99","79.99","54.99",,"54.99"
"9","DP1107A","1109","49.99","34.99","69.99","49.99","69.99","49.99","49.99","39.99",,"39.99"
"10","DP1107B","1110","59.99","44.99","79.99","59.99","79.99","59.99","59.99","49.99",,"49.99"
"11","DP1107C","1111","69.99","54.99","99.99","74.99","99.99","74.99","69.99","59.99",,"59.99"
"12","DP1106C","DUGFD10.5K","64.99","49.99","89.99","69.99","89.99","69.99","64.99","54.99",,"54.99"
"13","DP1106D","DUGFD10.5SK","74.99","59.99","99.99","84.99","99.99","84.99","74.99","64.99",,"64.99"
"14","DP1125B","DUHFPC10.5DOUBL","19.99","12.99","26.99","17.99","26.99","17.99","19.99","16.99",,"16.99"
"15","DP1125C","DUHFPC10.5KING","21.99","14.99","29.99","20.99","29.99","20.99","21.99","18.99",,"18.99"
"16","DP1125D","DUHFPC10.5SUPK","24.99","18.99","34.99","25.99","34.99","25.99","24.99","23.99",,"23.99"
"17","DP1126B","DUHFPC13.5DOUBL","21.99","14.99","29.99","19.99","29.99","19.99","21.99","18.99",,"18.99"
"18","DP1126A","DUHFPC13.5SING","19.99","11.99","26.99","16.99","26.99","16.99","19.99","15.99",,"15.99"
"19","DP1127B","DUHFPC15DOUBL","24.99","16.99","34.99","24.99","34.99","24.99","24.99","20.99",,"20.99"
