"id","linnworks_code","product_name","category","supplier","invoice_currency","landed_price_gbp","sp1_value_gbp","sp2_value_gbp","sp3_value_gbp","sale_price_gbp","landed_price_eur","sp1_value_eur","sp2_value_eur","sp3_value_eur","sale_price_euro","import_dates","error"
"2","BS-BELL-BLK","Bar Stool - Bell - Black (FR1389)","Bar Stools","CUTSNCUR","EUR","28.19","63.43","70.48","98.67","64.99","31.68","79.19","87.11","118.78",,,"This Price update for sku"
"3","BS-BRU-BLK","Bar Stool - Brunel - Black (FR1382)","Furniture/Discontinued","CUTSNCUR","EUR","25","56.25","62.49","87.49","59.99","28.09","70.22","77.24","105.33",,,
"4","BS-BRU-RED","Bar Stool - Brunel - Red (FR1384)","Furniture/Discontinued","CUTSNCUR","EUR","25","56.25","62.49","87.49","59.99","28.09","70.22","77.24","105.33",,,
"5","BS-BRU-SGRY","Bar Stool - Brunel - Silver Grey (FR1385)","Furniture/Discontinued","CUTSNCUR","EUR","25.34","57.02","63.36","88.7","59.99","28.48","71.19","78.31","106.78",,,
"6","BS-BRU-WHT","Bar Stool - Brunel - White (FR1383)","Furniture/Discontinued","CUTSNCUR","EUR","25","56.25","62.49","87.49","59.99","28.09","70.22","77.24","105.33",,,
"7","BS-COO-BLK","Bar Stool - Cooper - Black (FR1377)","Furniture/Discontinued","CUTSNCUR","EUR","30.48","68.59","76.21","106.69","79.99","34.25","85.63","94.19","128.44",,,
"8","BS-COO-SGRY","Bar Stool - Cooper - Silver Grey (FR1378)","Furniture/Discontinued","CUTSNCUR","EUR","30.48","68.59","76.21","106.69","79.99","34.25","85.63","94.19","128.44",,,
"9","BS-ERN-BLK","Bar Stool - Ernest - Black (FR1391)","Bar Stools","CUTSNCUR","EUR","37.08","83.43","92.7","129.78","94.99","41.66","104.16","114.57","156.23",,,
"10","BS-ERN-BLU","Bar Stool - Ernest - Blue (FR1393)","Bar Stools","CUTSNCUR","EUR","38.86","87.43","97.15","136.01","94.99","43.66","109.16","120.07","163.73",,,
"11","BS-ERN-GRY","Bar Stool - Ernest - Grey (FR1395)","Bar Stools","CUTSNCUR","EUR","37.08","83.43","92.7","129.78","94.99","41.66","104.16","114.57","156.23",,,
