"id","linnworks_code","product_name","category"
"1","1101","Microfibre - Duvet - 10.5tog -  Single (DP1110A)","Duvets"
"2","1102","Microfibre - Duvet - 10.5tog - Double (DP1110B)","Duvets"
"3","1103","Microfibre - Duvet - 10.5tog - King (DP1110C)","Duvets"
"4","1104","Microfibre - Duvet - 10.5tog - Super King (DP1110D)","Duvets"
"5","1105","Microfibre - Duvet - 13.5tog -  Single (DP1111A)","Duvets"
"6","1106","Microfibre - Duvet - 13.5tog - Double (DP1111B)","Duvets"
"7","1107","Microfibre - Duvet - 13.5tog - King (DP1111C)","Duvets"
"8","1108","Microfibre - Duvet - 13.5tog - Super King (DP1111D)","Duvets"
"9","1109","Goose Feather and Down - Duvet - 13.5tog -  Single (DP1107A)","Duvets"
"10","1110","Goose Feather and Down - Duvet - 13.5tog - Double (DP1107B)","Duvets"
"11","1111","Goose Feather and Down - Duvet - 13.5tog - King (DP1107C)","Duvets"
"12","DUGFD10.5K","Goose Feather and Down - Duvet - 10.5tog - King (DP1106C)","Duvets"
"13","DUGFD10.5SK","Goose Feather and Down - Duvet - 10.5tog - Super King (DP1106D)","Duvets"
"14","DUHFPC10.5DOUBL","Hollow Fibre - Duvet - 10.5tog - Double (DP1125B)","Duvets"
"15","DUHFPC10.5KING","Hollow Fibre - Duvet - 10.5tog - King (DP1125C)","Duvets"
"16","DUHFPC10.5SUPK","Hollow Fibre - Duvet - 10.5tog - Super King (DP1125D)","Duvets"
"17","DUHFPC13.5DOUBL","Hollow Fibre - Duvet - 13.5tog - Double (DP1126B)","Duvets"
"18","DUHFPC13.5SING","Hollow Fibre - Duvet - 13.5tog -  Single (DP1126A)","Duvets"
"19","DUHFPC15DOUBL","Hollow Fibre - Duvet - 15tog - Double (DP1127B)","Duvets"
"20","DUHPC10.5SING","Hollow Fibre - Duvet - 10.5tog -  Single (DP1125A)","Duvets"
"21","DUVGFD10.5SK","Goose Feather and Down - Duvet - 13.5tog - Super King (DP1107D)","Duvets"
"22","DUVGFDKID10.5","Homescapes 120 x 150cm Childrens  Kids Duvets & Pillows Sets Quilts Boys Girls","Default"
"23","DUVMFBKID10.5","Kids - Microfibre - Duvet - 10.5tog (DP1142)","Duvets"
"24","DUVMFBKID4.5","Kids - Microfibre - Duvet - 4.5tog (DP1143)","Duvets"
