"id","category","supplier","multiplier"
"1","Bar Stools","CUTSNCUR","1.25"
"2","Bath - Mats","THREEANG","1.17"
"3","Bath - Towels","HARWOODS","1"
"4","Bath - Towels","TERRYTEX","1.15"
"5","Bed Linen - 1000TC - Plain","SOUTHIND","1.15"
"6","Bed Linen - 200TC - Plain","SOUTHIND","1.15"
"7","Bed Linen - 330TC - Satin Stripe","SOUTHIND","1.15"
"8","Bed Linen - 400 TC - Organic","SOUTHIND","1.15"
"9","Bedspreads","THREEANG","1.2"
"10","Curtains","ASHLEYW","1"
"11","Curtains","BELFIELD","1"
"12","Curtains","SOUTHIND","1.16"
"13","Curtains","HOMEX","1.16"
"14","Curtains","THREEANG","1.16"
"15","Cushion - Booster","THREEANG","1.15"
"16","Cushion - Decorative","ASHLEYW","1"
"17","Cushion - Decorative","SOUTHIND","1.15"
"18","Cushion - Decorative","HOMEX","1.15"
"19","Cushion - Decorative","BELFIELD","1"
"20","Cushion - Decorative","THREEANG","1.15"
"21","Delivery Boxes","TB-JDY","1.25"
"22","Designer Bed Linen","ASHLEYW","1"
"23","Doormats","CLASSCOIR","1.15"
"24","Duvets","KINGSUN","1.17"
"25","Duvets","DUVETPIL","1"
"26","Duvets","NANTONG","1.17"
"27","Fabric","SOUTHIND","1.15"
"30","Garden","ADOBE","1"
"31","Home Accessories","FALLENFR","1"
"32","Home Accessories","ADOBE","1"
"33","Home Accessories","POWELL","1"
"34","Home Accessories","CUTSNCUR","1.25"
"35","Kitchen - Linen","SOUTHIND","1.15"
"36","Kitchen - Linen","HARWOODS","1"
"37","Kitchen - Seat Pads","SOUTHIND","1.18"
"38","Kitchen - Table Linen","SOUTHIND","1.15"
"39","Mattress Protection","FEICHENG","1.16"
"40","Mattresses","COMFORTX","1"
"41","Nightwear","POWELL","1"
"42","Pillows","DUVETPIL","1"
"43","Pillows","HARWOODS","1"
"44","Pillows","QINGDAO","1.16"
"45","Pillows","KINGSUN","1.16"
"46","Pillows","NANTONG","1.16"
"47","Plants","TOPBRIGHT","1.16"
"48","Plants","FLORELLE","1"
"49","Pouffes & Bean Bags","THREEANG","1.15"
"50","PRODUCTION","KINGSUN","1.15"
"51","PRODUCTION","SOUTHIND","1.15"
"52","PRODUCTION","THREEANG","1.15"
"53","PRODUCTION","TOPBRIGHT","1.15"
"54","Rugs","THREEANG","1.17"
"55","Shopping Bags","SOUTHIND","1.15"
"56","Throws","THREEANG","1.17"
"57","Throws","SOUTHIND","1.17"
"58","Wicker","PMPPNATU","1"
"59","Bath - Mats","HARWOODS","1"
"60","Cushion - Floor","SOUTHIND","1.31"
"61","Cushion - Floor","THREEANG","1.17"
"62","Furniture - Small","CUTSNCUR","1.25"
"63","Furniture - Small","SHRAWAN","1.25"
"64","Furniture - Medium","CUTSNCUR","1.25"
"65","Furniture - Medium","SHRAWAN","1.25"
"66","Furniture - Large","CUTSNCUR","1.25"
"67","Furniture - Large","SHRAWAN","1.25"
"68","Furniture - Extra Large","CUTSNCUR","1.25"
"69","Furniture - Extra Large","SHRAWAN","1.25"
"70","Bath - Robes","THREEANG","1.25"
"71","Bed Linen - Local","HARWOODS","1"
"72","Bedspreads","HARWOODS","1"
"73","Cushion - Pad","SOUTHIND","1.31"
"74","Bath - Mats","WIDDOP","1.15"
"75","Mattress Protection","KINGSUN","1.20"
"76","Kitchen - Seat Pads","WIDDOP","1.15"
"77","Bath - Mats/Discontinued","THREEANG","1.17"
"78","Bath - Robes/Discontinued","THREEANG","1.25"
"79","Bath - Towels/Discontinued","HARWOODS","1"
"80","Bed Linen - Local/Discontinued","HARWOODS","1"
"81","Curtains/Discontinued","ASHLEYW","1"
"82","Curtains/Discontinued","BELFIELD","1"
"83","Curtains/Discontinued","HOMEX","1.16"
"84","Curtains/Discontinued","THREEANG","1.16"
"85","Cushion - Decorative/Discontinued","BELFIELD","1"
"86","Cushion - Decorative/Discontinued","THREEANG","1.15"
"87","Cushion - Decorative/Discontinued","SOUTHIND","1.15"
"88","Cushion - Decorative/Discontinued","ASHLEYW","1"
"89","Cushion - Decorative/Discontinued","HOMEX","1.15"
"90","Fabric/Discontinued","SOUTHIND","1.15"
"91","Furniture/Discontinued","CUTSNCUR","1.25"
"92","Ktichen - Table Linen/Discontinued","SOUTHIND","1.15"
"93","Kitchen - Linen/Discontinued","SOUTHIND","1.15"
"94","Home Accessories/Discontinued","ADOBE","1"
"95","Home Accessories/Discontinued","POWELL","1"
"96","Nightdresses/Discontinued","POWELL","1"
"97","Plants/Discontinued","FLORELLE","1"
"98","Pouffes & Bean Bags / Discontinued","THREEANG","1.15"
"99","Rugs/Discontinued","THREEANG","1.17"
"100","Shopping Bags/Discontinued","SOUTHIND","1.15"
"101","Throws/Discontinued","THREEANG","1.17"
"102","Wicker/Discontinued","PMPPNATU","1"
"103","Duvets","KINGSUN/JINLIFA","1.17"
