id,purchase_id,supplier_id,stock_itemid,item_sku,item_title,invoice_currency,quantity,tax,cost,purchase_price,purchase_date
1,e6e256d5-212e-4d97-be58-1ca9f85d3dda,e17c42fa-2c6b-4e41-a0f9-989e07ec6239,73c595ff-03b5-4311-9204-8012ad093fea,H-PW130B,Wicker - Willow - Storage Box - NATURAL (AC1344),GBP,40,40,240,7.43,10/20/2017
2,1663ee7f-77d4-4e71-abb5-35f145c4040b,e17c42fa-2c6b-4e41-a0f9-989e07ec6239,2798c9d2-0494-4adb-af5b-891a86ca0954,H-PW129,Wicker - Willow Chests - Set of 4 - GREY,GBP,10,119.98,719.88,59,2/16/2017
3,5697b982-3ebf-48dc-bfae-51706987df78,e17c42fa-2c6b-4e41-a0f9-989e07ec6239,777d71b0-143d-4da6-ad00-ed7c97c3cc03,H-PW140,Wicker - Gingham Storage Baskets - Set of 4 - PINK (AC1184),GBP,12,40.8,244.8,18,2/22/2018
4,cf9161e9-eae7-4e44-ad38-78b601196ab4,e17c42fa-2c6b-4e41-a0f9-989e07ec6239,1f74fb7f-5912-4928-9178-5afe6f67786c,H-PW120,Wicker - Cutlery/Glass Basket - GREY (AC1181),GBP,120,64.8,388.8,3.06,2/22/2018
5,9f35d9e1-a924-4e5a-b835-903c2ab874af,e17c42fa-2c6b-4e41-a0f9-989e07ec6239,2caedd09-afb7-4c8f-82a0-a57d00fff1e3,H-PW130A,Wicker - Willow - Laundry Chest - NATURAL (AC1326),GBP,10,60,360,29.7,10/20/2017
6,e62f02fb-af3c-491b-b3d8-c29c6e41e5fc,e17c42fa-2c6b-4e41-a0f9-989e07ec6239,ae4513f5-520b-49ac-8e8f-5029f3499439,H-PW21,Wicker - Round - Waste Bin - NATURAL (AC1187),GBP,48,33.6,201.6,3.78,10/26/2017
7,2fae4e56-eddb-454c-9b68-dcf666948a3e,e17c42fa-2c6b-4e41-a0f9-989e07ec6239,e0ec7f23-3748-49b4-b6cc-bcbb87cf7d28,H-PW126,Wicker - Round Laundry Baskets - Set of 3 - GREY (AC1182),GBP,5,38,228,39.6,1/18/2018
8,e6679593-b048-401c-800f-f07e485fac0a,e17c42fa-2c6b-4e41-a0f9-989e07ec6239,7f249248-65a7-4f1d-9d61-125ab7815732,H-PW142,Wicker - Gingham Folding Handle Shopper - PINK (AC1186),GBP,24,29.76,178.56,6.21,2/16/2018
9,78a8a5f7-4890-464a-98d4-f39dfca885c1,e17c42fa-2c6b-4e41-a0f9-989e07ec6239,656c4718-caed-40d8-b4d7-60c366a47dc6,H-PW141,Wicker - Gingham Folding Handle Shopper - BLUE (AC1185),GBP,24,29.76,178.56,6.21,1/18/2018
10,50141575-8052-4ae9-b749-3fefd19cd8c7,df01c62a-5677-4fa7-a729-0f559d72ff9f,5e67c91c-8163-44ee-8892-ff8a7c08a06e,FL12780A,Plants - Tulips in Metal Vase - Red & Yellow** (AP1239),GBP,24,17.28,103.68,3.6,2/2/2016
11,8418d7c3-0c82-4358-a30e-48a12e2fcb1d,df01c62a-5677-4fa7-a729-0f559d72ff9f,5d5aa07f-957a-4bf2-afa6-1b5113325ca1,FL12782A,Plants - Iris in Box - Yellow (AP1243),GBP,108,32.4,194.4,1,12/1/2016
12,a31fe891-d980-4f9f-a22f-6a485132e04f,df01c62a-5677-4fa7-a729-0f559d72ff9f,c9cc024c-cdda-4305-a09c-9d68d328c344,FL12781A,Plants - Tulips in Box - Purple** (AP1241),GBP,108,32.4,194.4,1.5,2/12/2015
13,6a8fcf59-c8b7-457d-b27f-aa48b8566475,df01c62a-5677-4fa7-a729-0f559d72ff9f,08855cac-98d5-40c9-9573-a95fa22c9a33,FL12780B,Plants - Tulips in Metal Vase - Pink & Yellow** (AP1240),GBP,24,17.28,103.68,3.6,2/2/2016
14,f5722c65-230a-4421-a664-b548d384f3b6,df01c62a-5677-4fa7-a729-0f559d72ff9f,7babe845-28f2-4aee-a571-6ce2a8de5ca3,FL12782B,Plants - Iris in Box - Purple (AP1244),GBP,108,32.4,194.4,1,12/1/2016
15,c30d1066-93f4-4444-a3cd-d46acc3b76ab,df01c62a-5677-4fa7-a729-0f559d72ff9f,0da6c1ff-342e-4f24-bf88-105cdcc1aad3,FL12781B,Plants - Tulips in Box - Pink** (AP1242),GBP,108,32.4,194.4,1.5,2/12/2015
16,0740529d-2ac0-428e-9b97-3eb68b212e56,efc0f966-a2e7-41ec-9d1c-b8c407a74d4a,daa683af-ac43-4825-80e1-a7a9b0922423,DUPILLOWPAIR,Goose Feather & Down - Pillow Pair - Standard (DP1158),GBP,3000,8190,49140,13,12/10/2015
17,4f01ad06-02d0-469a-a176-821223a3f4af,efc0f966-a2e7-41ec-9d1c-b8c407a74d4a,03ecdec1-fb77-4281-8923-50f1dc83ac43,D0-XCPS-BUS3,Duck Feather - Pillow Pair - Standard 19x29 (DP1150),GBP,2898,3042.9,18257.4,5,4/26/2016
18,505bc564-60a4-42fa-b4b0-0702595bf150,efc0f966-a2e7-41ec-9d1c-b8c407a74d4a,f32e63f9-f628-459a-8127-03289d0625fa,DUVGFDKID10.5,Kids - Goose Feather & Down - Duvet - 10.5tog (DP1139),USD,100,0,1002,9.72,1/26/2018
19,1a6450a9-6ef0-425f-b0f5-0ede485601fe,efc0f966-a2e7-41ec-9d1c-b8c407a74d4a,13d29e2b-79a1-4925-95da-b1b6570a269c,GFDUVALLSEA-K,Goose Feather and Down - Duvet - All Seasons - King (DP1108C),USD,296,0,12674.72,40.69,12/11/2017
20,3e0e9529-0f25-4819-9885-1c47e9f204a8,efc0f966-a2e7-41ec-9d1c-b8c407a74d4a,7a6e8701-f1a5-4f84-87d9-5b64ad349987,DUVGFDKID4.5,Kids - Goose Feather & Down - Duvet - 4.5tog (DP1140),USD,100,0,849,8.23,1/26/2018
21,51a6d092-daa6-448e-aca5-2789d30a5c97,efc0f966-a2e7-41ec-9d1c-b8c407a74d4a,e87c32f5-d559-4a48-b4bd-a426da6985cf,HSDUGF1052,Goose Feather and Down - Duvet - 10.5tog - Double (DP1106B),USD,133,0,3000.48,21.4,12/11/2017
