id,item_number,item_title,barcode_number,category_name,supp_name,supp_id,heights,widths,depths,weights
1,1000DEEPFITBEI-D,1000TC - Deep Fitted Sheet - Moonlight Beige - Double - Plain (BL1317B),5.05597E+12,Bed Linen - 1000TC - Plain,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,3,31,39,1300
2,1000DEEPFITBEI-K,1000TC - Deep Fitted Sheet - Moonlight Beige - King - Plain (BL1317C),5.05597E+12,Bed Linen - 1000TC - Plain,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,4,31,39,1400
3,1000DEEPFITBEI-S,1000TC - Deep Fitted Sheet - Moonlight Beige -  Single - Plain (BL1317A),5.05597E+12,Bed Linen - 1000TC - Plain,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,3,31,39,1100
4,1000DEEPFITBEI-SK,1000TC - Deep Fitted Sheet - Moonlight Beige - Super King - Plain (BL1317D),5.05597E+12,Bed Linen - 1000TC - Plain,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,4,31,39,1600
5,1000DEEPFITCRED,1000TC - Deep Fitted Sheet - Cream - Double - Plain (BL1344B),5.05597E+12,Bed Linen - 1000TC - Plain,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,0,0,0,1100
6,1000DEEPFITCREK,1000TC - Deep Fitted Sheet - Cream - King  - Plain (BL1343C),5.05597E+12,Bed Linen - 1000TC - Plain,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,0,0,0,1200
7,1000DEEPFITCRES,1000TC - Deep Fitted Sheet - Cream -  Single - Plain (BL1343A),5.05597E+12,Bed Linen - 1000TC - Plain,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,0,0,0,800
8,1000DEEPFITCRESK,1000TC - Deep Fitted Sheet - Cream - Super King - Plain (BL1343D),5.05597E+12,Bed Linen - 1000TC - Plain,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,0,0,0,1400
9,1000DEEPFITDGRY-D,1000TC - Deep Fitted Sheet - Dark Grey - Double - Plain (BL1311B),5.05597E+12,Bed Linen - 1000TC - Plain,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,0,0,0,1300
10,1000DEEPFITDGRY-K,1000TC - Deep Fitted Sheet - Dark Grey - King - Plain (BL1311C),5.05597E+12,Bed Linen - 1000TC - Plain,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,4,31,39,1400
11,1000DEEPFITDGRY-S,1000TC - Deep Fitted Sheet - Dark Grey - Single - Plain (BL1311A),5.05597E+12,Bed Linen - 1000TC - Plain,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,3,31,39,1100
